"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2024","EQ","99.30","99.30","96.58","96.68","97.60","97.60","97.59","102.35","70.96","1,224","1,19,455.88","50"
"25-Jan-2024","EQ","97.21","97.51","96.42","97.55","96.89","96.68","96.60","102.35","70.96","1,361","1,31,476.93","46"
"24-Jan-2024","EQ","96.90","97.59","95.79","96.06","97.58","97.55","97.08","102.35","70.96","1,474","1,43,096.58","46"
"23-Jan-2024","EQ","97.75","99.05","95.63","97.19","99.05","96.06","96.56","102.35","70.96","6,662","6,43,257.27","56"
"20-Jan-2024","EQ","98.24","98.24","97.01","98.23","97.42","97.19","97.67","102.35","70.96","1,183","1,15,546.05","53"
"19-Jan-2024","EQ","96.76","98.42","96.76","96.72","98.42","98.23","97.60","102.35","70.96","15,952","15,56,909.28","46"
"18-Jan-2024","EQ","101.94","101.94","95.62","97.33","96.97","96.72","96.89","102.35","70.96","2,289","2,21,773.37","64"
"17-Jan-2024","EQ","97.91","97.91","97.21","98.12","97.49","97.33","97.45","102.35","70.96","11,544","11,25,002.48","59"
"16-Jan-2024","EQ","98.20","98.49","98.01","98.13","98.12","98.12","98.15","102.35","70.96","7,296","7,16,107.71","37"
"15-Jan-2024","EQ","98.05","98.25","97.51","97.64","98.23","98.13","97.90","102.35","70.96","12,641","12,37,515.93","66"
"12-Jan-2024","EQ","97.47","97.80","96.84","97.25","97.79","97.64","97.31","102.35","70.96","1,238","1,20,465.99","55"
"11-Jan-2024","EQ","97.38","97.75","97.25","96.92","97.25","97.25","97.37","102.35","70.96","792","77,116.63","26"
"10-Jan-2024","EQ","97.02","97.17","96.45","97.02","97.17","96.92","96.80","102.35","70.96","1,169","1,13,158.73","53"
"09-Jan-2024","EQ","96.91","97.30","96.61","96.51","97.04","97.02","97.06","102.35","70.96","1,113","1,08,029.09","30"
"08-Jan-2024","EQ","99.10","99.85","96.45","97.50","96.45","96.51","97.48","102.35","70.96","2,757","2,68,746.55","72"
"05-Jan-2024","EQ","98.65","98.65","97.49","98.65","98.00","97.50","97.92","102.35","70.96","5,890","5,76,739.92","128"
"04-Jan-2024","EQ","97.49","102.35","97.20","98.17","98.75","98.65","98.13","102.35","70.96","1,294","1,26,986.40","63"
